CRM_ATPT_CPTD_CD,LAW_CAT_CD,OFNS_DESC,PD_DESC,PREM_TYP_DESC,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
COMPLETED,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,25-44,BLACK,M,18-24,BLACK,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - PUBLIC HOUSING,45-64,WHITE HISPANIC,F,25-44,BLACK,F
COMPLETED,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL,    UNCL 2ND",RESIDENCE - PUBLIC HOUSING,25-44,BLACK,M,25-44,BLACK,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,25-44,WHITE HISPANIC,M,25-44,ASIAN/PAC.ISL,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,25-44,BLACK,F,18-24,BLACK,F
COMPLETED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE - APT. HOUSE,25-44,BLACK,M,25-44,BLACK,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,45-64,ASIAN/PAC.ISL,F,25-44,WHITE,F
COMPLETED,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,RESIDENCE - PUBLIC HOUSING,25-44,BLACK,M,25-44,BLACK,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,18-24,BLACK,M,45-64,BLACK,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,45-64,BLACK,M,65+,BLACK,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE - PUBLIC HOUSING,45-64,BLACK,F,45-64,BLACK,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",STREET,18-24,ASIAN/PAC.ISL,M,18-24,ASIAN/PAC.ISL,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,18-24,ASIAN/PAC.ISL,M,45-64,ASIAN/PAC.ISL,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,18-24,WHITE HISPANIC,M,45-64,WHITE HISPANIC,F
COMPLETED,FELONY,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",TRANSIT - NYC SUBWAY,18-24,WHITE HISPANIC,M,<18,WHITE HISPANIC,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,25-44,WHITE,M,25-44,ASIAN/PAC.ISL,F
COMPLETED,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL",STREET,25-44,ASIAN/PAC.ISL,M,25-44,WHITE,M
COMPLETED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,STREET,18-24,WHITE HISPANIC,M,18-24,ASIAN/PAC.ISL,M
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,25-44,WHITE,M,18-24,WHITE,F
ATTEMPTED,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",GROCERY/BODEGA,25-44,BLACK,M,25-44,BLACK,M
COMPLETED,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE - APT. HOUSE,25-44,BLACK,F,25-44,BLACK,F
COMPLETED,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,25-44,BLACK,F,25-44,BLACK,M
